"Title","PubYear","Country","DALYinCurrentUSDollars"
"Cost-effectiveness analysis of alternative treatments of African gambiense trypanosomiasis in Uganda",1995,"Uganda",75.4481104775481
"Cost-effectiveness analysis of alternative treatments of African gambiense trypanosomiasis in Uganda",1995,"Uganda",307.695472558803
"Cost-effectiveness analysis of alternative treatments of African gambiense trypanosomiasis in Uganda",1995,"Uganda",14.7575766215253
"Breastfeeding promotion and priority setting in health",1996,"Mexico",5.53409123307199
"Breastfeeding promotion and priority setting in health",1996,"Honduras",35.4366308624376
"Breastfeeding promotion and priority setting in health",1996,"Brazil",21.730531575196
"Cost-effectiveness of cataract surgery in a public health eye care programme in Nepal",1996,"Nepal",8.83659689608637
"Cost-effectiveness of improved treatment services for sexually transmitted diseases in preventing HIV-1 infection in Mwanza Region, Tanzania",1997,"Tanzania",18.5018521107266
"From research to practice: use of short course zidovudine to prevent mother-to-child HIV transmission in the context of routine health care in Northern Thailand",1998,"Thailand",57.7334926704908
"A reassessment of the cost-effectiveness of water and sanitation interventions in programmes for controlling childhood diarrhoea",1998,NA,32.9905672402804
"A reassessment of the cost-effectiveness of water and sanitation interventions in programmes for controlling childhood diarrhoea",1998,NA,681.255213511791
"A reassessment of the cost-effectiveness of water and sanitation interventions in programmes for controlling childhood diarrhoea",1998,NA,1900.25667304015
"A reassessment of the cost-effectiveness of water and sanitation interventions in programmes for controlling childhood diarrhoea",1998,NA,72.579247928617
"Cost-effectiveness of oral cholera vaccine in a stable refugee population at risk for epidemic cholera and in a population with endemic cholera",1998,NA,5887.10866870696
"Cost-effectiveness of oral cholera vaccine in a stable refugee population at risk for epidemic cholera and in a population with endemic cholera",1998,NA,857.422823259373
"Cost-effectiveness of oral cholera vaccine in a stable refugee population at risk for epidemic cholera and in a population with endemic cholera",1998,NA,310.890030604438
"Cost-effectiveness of oral cholera vaccine in a stable refugee population at risk for epidemic cholera and in a population with endemic cholera",1998,NA,13.8613389441469
"Cost-effectiveness of oral cholera vaccine in a stable refugee population at risk for epidemic cholera and in a population with endemic cholera",1998,NA,1100.98635042081
"Cost-effectiveness of oral cholera vaccine in a stable refugee population at risk for epidemic cholera and in a population with endemic cholera",1998,NA,647.522547819434
"Cost-effectiveness of oral cholera vaccine in a stable refugee population at risk for epidemic cholera and in a population with endemic cholera",1998,NA,532.671453710788
"Cost-effectiveness of oral cholera vaccine in a stable refugee population at risk for epidemic cholera and in a population with endemic cholera",1998,NA,546.532792654935
"Cost-effectiveness of oral cholera vaccine in a stable refugee population at risk for epidemic cholera and in a population with endemic cholera",1998,NA,142.57377199694
"Cost-effectiveness of oral cholera vaccine in a stable refugee population at risk for epidemic cholera and in a population with endemic cholera",1998,NA,5.94057383320582
"Cost-effectiveness of oral cholera vaccine in a stable refugee population at risk for epidemic cholera and in a population with endemic cholera",1998,NA,619.79986993114
"Cost-effectiveness of oral cholera vaccine in a stable refugee population at risk for epidemic cholera and in a population with endemic cholera",1998,NA,33.6632517214996
"An assessment of the value of Haemophilus influenzae type b conjugate vaccine in  Asia",1998,"China",367.656747663551
"An assessment of the value of Haemophilus influenzae type b conjugate vaccine in  Asia",1998,"India",95.139246105919
"An assessment of the value of Haemophilus influenzae type b conjugate vaccine in  Asia",1998,"Bangladesh",51.6009470404984
"An assessment of the value of Haemophilus influenzae type b conjugate vaccine in  Asia",1998,"Bhutan",49.9884174454829
"An assessment of the value of Haemophilus influenzae type b conjugate vaccine in  Asia",1998,"Cambodia",129.002367601246
"An assessment of the value of Haemophilus influenzae type b conjugate vaccine in  Asia",1998,"Lao PDR",158.027900311527
"An assessment of the value of Haemophilus influenzae type b conjugate vaccine in  Asia",1998,"Mongolia",135.452485981308
