"City","Date","Avg","Max","Min"
"Boston","2000-01-01",39,50,27
"Boston","2000-01-02",44,54,34
"Boston","2000-01-03",54,64,43
"Boston","2000-01-04",52,63,40
"Boston","2000-01-05",36,49,22
"Boston","2000-01-06",27,36,18
"Boston","2000-01-07",38,45,31
"Boston","2000-01-08",34,38,30
"Boston","2000-01-09",43,51,34
"Boston","2000-01-10",48,56,39
"Boston","2000-01-11",48,55,41
"Boston","2000-01-12",38,43,32
"Boston","2000-01-13",23,32,13
"Boston","2000-01-14",2,16,7
"Boston","2000-01-15",NA,18,1
"Boston","2000-01-16",28,41,14
"Boston","2000-01-17",9,17,0
"Boston","2000-01-18",13,22,3
"Boston","2000-01-19",14,21,7
"Boston","2000-01-20",18,22,13
"Boston","2000-01-21",12,19,4
"Boston","2000-01-22",8,14,2
"Boston","2000-01-23",15,22,7
"Boston","2000-01-24",26,32,20
"Boston","2000-01-25",30,35,24
"Boston","2000-01-26",27,32,21
"Boston","2000-01-27",15,22,7
"Boston","2000-01-28",12,19,5
"Boston","2000-01-29",23,33,12
"Boston","2000-01-30",33,47,18
"Boston","2000-01-31",34,38,30
"Boston","2000-02-01",31,35,26
"Boston","2000-02-02",24,29,18
"Boston","2000-02-03",23,30,15
"Boston","2000-02-04",25,28,22
"Boston","2000-02-05",30,35,25
"Boston","2000-02-06",29,33,24
"Boston","2000-02-07",31,42,20
"Boston","2000-02-08",21,28,13
"Boston","2000-02-09",33,45,21
"Boston","2000-02-10",38,44,31
"Boston","2000-02-11",36,44,28
"Boston","2000-02-12",27,32,21
"Boston","2000-02-13",28,36,19
"Boston","2000-02-14",45,57,32
"Boston","2000-02-15",38,44,32
"Boston","2000-02-16",39,49,28
"Boston","2000-02-17",29,37,20
"Boston","2000-02-18",27,33,20
"Boston","2000-02-19",29,33,24
"Boston","2000-02-20",33,37,29
"Boston","2000-02-21",34,40,28
"Boston","2000-02-22",34,44,24
"Boston","2000-02-23",42,52,32
"Boston","2000-02-24",52,61,43
"Boston","2000-02-25",42,47,36
"Boston","2000-02-26",39,41,36
"Boston","2000-02-27",50,61,39
"Boston","2000-02-28",47,55,39
"Boston","2000-02-29",42,49,35
"Boston","2000-03-01",42,45,38
"Boston","2000-03-02",44,49,38
"Boston","2000-03-03",41,47,34
"Boston","2000-03-04",43,53,33
"Boston","2000-03-05",45,51,39
"Boston","2000-03-06",42,49,35
"Boston","2000-03-07",48,62,33
"Boston","2000-03-08",44,48,40
"Boston","2000-03-09",57,72,41
"Boston","2000-03-10",47,57,36
"Boston","2000-03-11",38,40,36
"Boston","2000-03-12",38,41,34
"Boston","2000-03-13",36,41,31
"Boston","2000-03-14",41,53,28
"Boston","2000-03-15",48,61,35
"Boston","2000-03-16",56,71,40
"Boston","2000-03-17",31,40,22
"Boston","2000-03-18",24,32,16
"Boston","2000-03-19",31,37,25
"Boston","2000-03-20",36,40,32
"Boston","2000-03-21",38,40,35
"Boston","2000-03-22",40,44,36
"Boston","2000-03-23",42,52,32
"Boston","2000-03-24",48,52,43
"Boston","2000-03-25",50,64,35
"Boston","2000-03-26",55,64,46
"Boston","2000-03-27",50,59,40
"Boston","2000-03-28",51,57,45
"Boston","2000-03-29",51,57,44
"Boston","2000-03-30",47,51,42
"Boston","2000-03-31",46,54,38
"Boston","2000-04-01",50,61,39
"Boston","2000-04-02",57,68,46
"Boston","2000-04-03",51,56,45
"Boston","2000-04-04",55,66,43
"Boston","2000-04-05",46,53,39
"Boston","2000-04-06",48,58,37
"Boston","2000-04-07",54,62,45
"Boston","2000-04-08",60,75,45
"Boston","2000-04-09",48,61,34
"Boston","2000-04-10",44,51,37
"Boston","2000-04-11",41,46,35
"Boston","2000-04-12",43,49,36
"Boston","2000-04-13",42,50,34
"Boston","2000-04-14",46,56,35
"Boston","2000-04-15",57,70,44
"Boston","2000-04-16",56,65,47
"Boston","2000-04-17",44,48,39
"Boston","2000-04-18",43,45,40
"Boston","2000-04-19",42,43,41
"Boston","2000-04-20",48,54,41
"Boston","2000-04-21",45,47,42
"Boston","2000-04-22",44,46,42
"Boston","2000-04-23",45,48,42
"Boston","2000-04-24",47,52,42
"Boston","2000-04-25",43,47,38
"Boston","2000-04-26",38,41,35
"Boston","2000-04-27",44,50,37
"Boston","2000-04-28",47,53,41
"Boston","2000-04-29",45,51,39
"Boston","2000-04-30",54,60,47
"Boston","2000-05-01",54,65,42
"Boston","2000-05-02",56,65,46
"Boston","2000-05-03",51,59,43
"Boston","2000-05-04",57,69,44
"Boston","2000-05-05",68,81,55
"Boston","2000-05-06",60,69,50
"Boston","2000-05-07",71,91,50
"Boston","2000-05-08",71,86,56
"Boston","2000-05-09",56,65,47
"Boston","2000-05-10",48,50,46
"Boston","2000-05-11",55,66,44
"Boston","2000-05-12",59,67,50
"Boston","2000-05-13",54,59,49
"Boston","2000-05-14",60,70,50
"Boston","2000-05-15",56,63,49
"Boston","2000-05-16",57,67,47
"Boston","2000-05-17",59,65,53
"Boston","2000-05-18",63,71,54
"Boston","2000-05-19",53,63,43
"Boston","2000-05-20",49,54,44
"Boston","2000-05-21",51,53,49
"Boston","2000-05-22",52,56,47
"Boston","2000-05-23",52,57,47
"Boston","2000-05-24",58,66,50
"Boston","2000-05-25",61,72,49
"Boston","2000-05-26",64,72,55
"Boston","2000-05-27",65,74,55
"Boston","2000-05-28",57,61,52
"Boston","2000-05-29",52,57,47
"Boston","2000-05-30",52,58,46
"Boston","2000-05-31",59,72,45
"Boston","2000-06-01",70,82,57
"Boston","2000-06-02",77,88,66
"Boston","2000-06-03",65,71,57
"Boston","2000-06-04",62,70,53
"Boston","2000-06-05",58,61,54
"Boston","2000-06-06",52,56,47
"Boston","2000-06-07",58,69,46
"Boston","2000-06-08",63,75,51
"Boston","2000-06-09",72,80,63
"Boston","2000-06-10",73,90,56
"Boston","2000-06-11",56,61,51
"Boston","2000-06-12",53,54,51
"Boston","2000-06-13",56,59,52
"Boston","2000-06-14",57,61,53
"Boston","2000-06-15",63,68,57
"Boston","2000-06-16",76,88,63
"Boston","2000-06-17",81,92,69
"Boston","2000-06-18",67,74,59
"Boston","2000-06-19",64,69,59
"Boston","2000-06-20",70,79,60
"Boston","2000-06-21",72,83,61
"Boston","2000-06-22",NA,85,69
"Boston","2000-06-23",NA,82,67
"Boston","2000-06-24",NA,73,63
"Boston","2000-06-25",NA,86,64
"Boston","2000-06-26",75,82,68
"Boston","2000-06-27",79,91,67
"Boston","2000-06-28",75,82,67
"Boston","2000-06-29",68,73,63
"Boston","2000-06-30",71,79,63
"Boston","2000-07-01",70,77,63
"Boston","2000-07-02",74,84,63
"Boston","2000-07-03",78,87,68
"Boston","2000-07-04",76,83,68
"Boston","2000-07-05",74,84,64
"Boston","2000-07-06",69,79,59
"Boston","2000-07-07",66,73,58
"Boston","2000-07-08",67,79,55
"Boston","2000-07-09",73,81,64
"Boston","2000-07-10",77,86,68
"Boston","2000-07-11",73,82,64
"Boston","2000-07-12",74,85,62
"Boston","2000-07-13",75,83,67
"Boston","2000-07-14",75,83,66
"Boston","2000-07-15",71,76,65
"Boston","2000-07-16",68,72,63
"Boston","2000-07-17",64,68,59
"Boston","2000-07-18",74,83,65
"Boston","2000-07-19",66,70,61
"Boston","2000-07-20",63,68,58
"Boston","2000-07-21",70,81,59
"Boston","2000-07-22",73,81,64
"Boston","2000-07-23",71,80,62
"Boston","2000-07-24",69,75,63
"Boston","2000-07-25",67,70,64
"Boston","2000-07-26",63,65,61
"Boston","2000-07-27",64,65,62
"Boston","2000-07-28",66,70,62
"Boston","2000-07-29",71,79,63
"Boston","2000-07-30",70,74,65
"Boston","2000-07-31",65,66,63
"Boston","2000-08-01",65,66,63
"Boston","2000-08-02",69,73,64
"Boston","2000-08-03",76,82,69
"Boston","2000-08-04",74,81,67
"Boston","2000-08-05",72,78,65
"Boston","2000-08-06",73,81,64
"Boston","2000-08-07",79,89,68
"Boston","2000-08-08",81,87,75
"Boston","2000-08-09",80,88,71
"Boston","2000-08-10",78,85,70
"Boston","2000-08-11",72,76,67
"Boston","2000-08-12",68,72,64
"Boston","2000-08-13",66,71,61
"Boston","2000-08-14",64,66,62
"Boston","2000-08-15",67,71,63
"Boston","2000-08-16",73,80,65
"Boston","2000-08-17",67,74,60
"Boston","2000-08-18",64,71,56
"Boston","2000-08-19",69,75,62
"Boston","2000-08-20",65,72,58
"Boston","2000-08-21",66,75,56
"Boston","2000-08-22",69,78,59
"Boston","2000-08-23",68,75,61
"Boston","2000-08-24",71,78,63
"Boston","2000-08-25",50,77,63
"Boston","2000-08-26",71,79,62
"Boston","2000-08-27",74,85,63
"Boston","2000-08-28",67,72,62
"Boston","2000-08-29",65,72,58
"Boston","2000-08-30",67,75,58
"Boston","2000-08-31",77,86,67
"Boston","2000-09-01",80,87,73
"Boston","2000-09-02",69,76,61
"Boston","2000-09-03",65,69,61
"Boston","2000-09-04",66,74,58
"Boston","2000-09-05",56,62,49
"Boston","2000-09-06",56,62,49
"Boston","2000-09-07",63,75,51
"Boston","2000-09-08",68,80,56
"Boston","2000-09-09",76,83,68
"Boston","2000-09-10",65,70,60
"Boston","2000-09-11",68,76,59
"Boston","2000-09-12",72,83,61
"Boston","2000-09-13",72,80,63
"Boston","2000-09-14",65,73,57
"Boston","2000-09-15",65,70,60
"Boston","2000-09-16",61,68,53
"Boston","2000-09-17",60,70,50
"Boston","2000-09-18",69,78,59
"Boston","2000-09-19",70,78,61
"Boston","2000-09-20",72,81,63
"Boston","2000-09-21",69,78,60
"Boston","2000-09-22",62,68,55
"Boston","2000-09-23",61,70,51
"Boston","2000-09-24",65,75,54
"Boston","2000-09-25",54,60,48
"Boston","2000-09-26",54,56,51
"Boston","2000-09-27",58,68,47
"Boston","2000-09-28",52,61,42
"Boston","2000-09-29",46,53,38
"Boston","2000-09-30",54,65,43
"Boston","2000-10-01",60,70,50
"Boston","2000-10-02",57,62,51
"Boston","2000-10-03",67,80,53
"Boston","2000-10-04",64,73,54
"Boston","2000-10-05",56,58,53
"Boston","2000-10-06",56,59,53
"Boston","2000-10-07",56,62,49
"Boston","2000-10-08",49,55,43
"Boston","2000-10-09",42,43,40
"Boston","2000-10-10",45,51,38
"Boston","2000-10-11",54,66,41
"Boston","2000-10-12",57,69,44
"Boston","2000-10-13",61,74,48
"Boston","2000-10-14",68,80,55
"Boston","2000-10-15",65,75,54
"Boston","2000-10-16",48,54,42
"Boston","2000-10-17",48,53,42
"Boston","2000-10-18",54,57,51
"Boston","2000-10-19",55,61,49
"Boston","2000-10-20",56,65,46
"Boston","2000-10-21",62,74,50
"Boston","2000-10-22",50,58,42
"Boston","2000-10-23",46,52,39
"Boston","2000-10-24",56,68,43
"Boston","2000-10-25",57,63,51
"Boston","2000-10-26",61,71,50
"Boston","2000-10-27",59,65,52
"Boston","2000-10-28",48,60,35
"Boston","2000-10-29",37,40,34
"Boston","2000-10-30",40,46,33
"Boston","2000-10-31",45,48,42
"Boston","2000-11-01",49,56,41
"Boston","2000-11-02",54,63,45
"Boston","2000-11-03",53,60,46
"Boston","2000-11-04",56,66,46
"Boston","2000-11-05",46,49,42
"Boston","2000-11-06",47,52,41
"Boston","2000-11-07",50,59,41
"Boston","2000-11-08",50,53,46
"Boston","2000-11-09",48,52,44
"Boston","2000-11-10",49,50,47
"Boston","2000-11-11",50,53,47
"Boston","2000-11-12",51,56,45
"Boston","2000-11-13",45,47,42
"Boston","2000-11-14",49,51,46
"Boston","2000-11-15",44,49,39
"Boston","2000-11-16",44,48,39
"Boston","2000-11-17",46,54,38
"Boston","2000-11-18",40,46,34
"Boston","2000-11-19",40,45,35
"Boston","2000-11-20",38,45,30
"Boston","2000-11-21",38,42,33
"Boston","2000-11-22",34,37,30
"Boston","2000-11-23",30,35,25
"Boston","2000-11-24",25,30,19
"Boston","2000-11-25",26,35,17
"Boston","2000-11-26",41,49,32
"Boston","2000-11-27",48,52,43
"Boston","2000-11-28",47,50,43
"Boston","2000-11-29",45,49,40
"Boston","2000-11-30",39,42,36
"Boston","2000-12-01",35,41,28
"Boston","2000-12-02",27,31,22
"Boston","2000-12-03",27,35,19
"Boston","2000-12-04",35,44,25
"Boston","2000-12-05",37,48,26
"Boston","2000-12-06",27,32,22
"Boston","2000-12-07",28,33,22
"Boston","2000-12-08",19,22,16
"Boston","2000-12-09",24,31,17
"Boston","2000-12-10",32,34,17
"Boston","2000-12-11",37,41,32
"Boston","2000-12-12",39,54,24
"Boston","2000-12-13",24,29,18
"Boston","2000-12-14",34,41,27
"Boston","2000-12-15",29,35,23
"Boston","2000-12-16",37,44,30
"Boston","2000-12-17",52,64,39
"Boston","2000-12-18",35,40,30
"Boston","2000-12-19",34,39,28
"Boston","2000-12-20",29,33,25
"Boston","2000-12-21",27,32,22
"Boston","2000-12-22",29,32,25
"Boston","2000-12-23",24,30,17
"Boston","2000-12-24",27,32,22
"Boston","2000-12-25",19,28,10
"Boston","2000-12-26",18,27,8
"Boston","2000-12-27",27,32,21
"Boston","2000-12-28",21,24,18
"Boston","2000-12-29",26,33,19
"Boston","2000-12-30",30,39,21
"Boston","2000-12-31",29,32,25
"Boston","2001-01-01",29,35,22
"Boston","2001-01-02",25,30,19
"Boston","2001-01-03",25,32,18
"Boston","2001-01-04",28,34,22
"Boston","2001-01-05",29,38,20
"Boston","2001-01-06",33,36,29
"Boston","2001-01-07",32,36,27
"Boston","2001-01-08",33,39,26
"Boston","2001-01-09",28,33,23
"Boston","2001-01-10",20,27,12
"Boston","2001-01-11",30,40,19
"Boston","2001-01-12",28,33,23
"Boston","2001-01-13",28,36,20
"Boston","2001-01-14",36,43,29
"Boston","2001-01-15",32,38,25
"Boston","2001-01-16",33,41,25
"Boston","2001-01-17",36,41,30
"Boston","2001-01-18",27,32,21
"Boston","2001-01-19",34,37,30
"Boston","2001-01-20",30,35,25
"Boston","2001-01-21",25,29,20
"Boston","2001-01-22",26,33,19
"Boston","2001-01-23",29,37,20
"Boston","2001-01-24",33,39,27
"Boston","2001-01-25",33,39,27
"Boston","2001-01-26",28,35,21
"Boston","2001-01-27",32,36,27
"Boston","2001-01-28",32,36,27
"Boston","2001-01-29",29,35,23
