"State_county","Name","Acres"
"1_1","Autauga County",1174.8
"1_3","Baldwin County",5272.8
"1_5","Barbour County",2830.9
"1_7","Bibb County",32.1
"1_9","Blount County",837.2
"1_11","Bullock County",443.3
"1_13","Butler County",1276.3
"1_15","Calhoun County",1090.9
"1_17","Chambers County",150.4
"1_19","Cherokee County",1833.1
"1_21","Chilton County",279.5
"1_25","Clarke County",75.8
"1_27","Clay County",308.9
"1_29","Cleburne County",319.6
"1_31","Coffee County",4996.6
"1_33","Colbert County",17144.3
"1_35","Conecuh County",876.95
"1_39","Covington County",2181.8
"1_41","Crenshaw County",2010
"1_43","Cullman County",2147.3
"1_45","Dale County",2146.95
"1_47","Dallas County",4747.4
"1_49","DeKalb County",11107.51
"1_51","Elmore County",1893.9
"1_53","Escambia County",3218.2
"1_55","Etowah County",1752.8
"1_57","Fayette County",1801.1
"1_59","Franklin County",3083.3
"1_61","Geneva County",3611.7
"1_63","Greene County",674.5
"1_65","Hale County",1257.36
"1_67","Henry County",2394.7
"1_69","Houston County",2627.9
"1_71","Jackson County",19287.34
"1_75","Lamar County",1041.1
"1_77","Lauderdale County",18914.8
"1_79","Lawrence County",23848.5
"1_81","Lee County",147.1
"1_83","Limestone County",19099.8
"1_85","Lowndes County",2199.4
"1_87","Macon County",109
"1_89","Madison County",20325.7
"1_91","Marengo County",1047.7
"1_93","Marion County",2487.6
"1_95","Marshall County",2555.9
"1_97","Mobile County",1679.4
"1_99","Monroe County",1154.8
"1_101","Montgomery County",2909.7
"1_103","Morgan County",5797.1
"1_105","Perry County",2752.2
"1_107","Pickens County",1896.6
"1_109","Pike County",2413.8
"1_111","Randolph County",502.6
"1_113","Russell County",1392.1
"1_115","St. Clair County",55.8
"1_117","Shelby County",389.05
"1_119","Sumter County",617.18
"1_121","Talladega County",7372.3
"1_123","Tallapoosa County",185.3
"1_125","Tuscaloosa County",2994.8
"1_127","Walker County",269.4
"1_129","Washington County",676.6
"1_131","Wilcox County",617.9
"4_3","Cochise County",23479.1
"4_9","Graham County",198.7
"4_11","Greenlee County",692.6
"4_12","La Paz County",121.7
"4_13","Maricopa County",12617.3
"4_19","Pima County",137.3
"4_21","Pinal County",14185.9
"4_25","Yavapai County",196.8
"4_27","Yuma County",469.4
"5_1","Arkansas County",21995.91
"5_3","Ashley County",26139.1
"5_7","Benton County",858.62
"5_9","Boone County",132.7
"5_11","Bradley County",176.3
"5_15","Carroll County",800.1
"5_17","Chicot County",35732.7
"5_19","Clark County",2551.32
"5_21","Clay County",28158.6
"5_23","Cleburne County",11.6
"5_29","Conway County",4435.9
"5_31","Craighead County",24651.6
"5_33","Crawford County",1809.9
"5_35","Crittenden County",8086.7
"5_37","Cross County",5446.1
"5_41","Desha County",28157.01
"5_43","Drew County",10232.8
"5_45","Faulkner County",1376.5
"5_47","Franklin County",570.09
"5_55","Greene County",12659.1
"5_57","Hempstead County",25.5
"5_59","Hot Spring County",187.5
"5_63","Independence County",5350.2
"5_67","Jackson County",8211.33
"5_69","Jefferson County",44172.3
"5_71","Johnson County",1435.7
"5_73","Lafayette County",12854.56
"5_75","Lawrence County",2362.9
"5_77","Lee County",21740.1
"5_79","Lincoln County",13020
"5_81","Little River County",8382.53
"5_83","Logan County",2569.9
"5_85","Lonoke County",29000.8
"5_91","Miller County",24905.84
"5_93","Mississippi County",19608.2
"5_95","Monroe County",21415.8
"5_99","Nevada County",26
"5_105","Perry County",138.3
"5_107","Phillips County",32689.1
"5_111","Poinsett County",10057.9
"5_115","Pope County",2324.3
"5_117","Prairie County",9118.3
"5_119","Pulaski County",4176.1
"5_121","Randolph County",7364.9
"5_123","St. Francis County",7229.7
"5_131","Sebastian County",586.5
"5_141","Van Buren County",14.1
"5_143","Washington County",12.5
"5_145","White County",3798.8
"5_147","Woodruff County",15762.9
"5_149","Yell County",1834.8
"6_5","Amador County",293
"6_7","Butte County",769.4
"6_11","Colusa County",5482.6
"6_13","Contra Costa County",6940.7
"6_19","Fresno County",26096.4
"6_21","Glenn County",12401.14
"6_25","Imperial County",5094.6
"6_29","Kern County",29571.2
"6_31","Kings County",52677.6
"6_35","Lassen County",68.04
"6_39","Madera County",22054.48
"6_47","Merced County",70717.5
"6_53","Monterey County",1.3
"6_59","Orange County",7.8
"6_61","Placer County",371.8
"6_65","Riverside County",209.2
"6_67","Sacramento County",31794.68
"6_77","San Joaquin County",72248.37
"6_81","San Mateo County",5.1
"6_89","Shasta County",14
"6_95","Solano County",9926.4
"6_99","Stanislaus County",44043.79
"6_101","Sutter County",9075.9
"6_103","Tehama County",1421.9
"6_107","Tulare County",104937.5
"6_113","Yolo County",18721.01
"6_115","Yuba County",1018.9
"8_1","Adams County",28785.9
"8_5","Arapahoe County",4727.2
"8_9","Baca County",76406.82
"8_11","Bent County",8298.8
"8_13","Boulder County",4270.5
"8_14","Broomfield County",736.8
"8_17","Cheyenne County",45016.8
"8_21","Conejos County",186.3
"8_23","Costilla County",1.1
"8_25","Crowley County",2080.3
"8_29","Delta County",6100.43
"8_31","Denver County",2192.7
"8_33","Dolores County",289.9
"8_39","Elbert County",8864.7
"8_41","El Paso County",339.1
"8_43","Fremont County",2.5
"8_61","Kiowa County",31033.6
"8_63","Kit Carson County",253354.9
"8_67","La Plata County",199.4
"8_69","Larimer County",13766.32
"8_71","Las Animas County",30.4
"8_73","Lincoln County",51308.6
"8_75","Logan County",87898.2
"8_77","Mesa County",3403.8
"8_83","Montezuma County",1474.8
"8_85","Montrose County",14990
"8_87","Morgan County",80372.1
"8_89","Otero County",15879.38
"8_95","Phillips County",124890.7
"8_99","Prowers County",21618.1
"8_101","Pueblo County",7289.14
"8_115","Sedgwick County",55598.3
"8_121","Washington County",84249.5
"8_123","Weld County",130499.23
"8_125","Yuma County",265031.95
"9_1","Fairfield County",138.8
