"","clinicid","district","treatment","netprice","timestart","anc_fee","hivtesting","any_CT","clinicswithin10km","distanceclosestclinic","disttoclosestprogramclinic","tot_anc_01","tot_anc_02","tot_anc_03","tot_anc_04","tot_anc_05","tot_anc_06","tot_anc_07","tot_anc_08","tot_anc_09","tot_anc_10","tot_anc_11","tot_anc_12","firstvisits_01","firstvisits_02","firstvisits_03","firstvisits_04","firstvisits_05","firstvisits_06","firstvisits_07","firstvisits_08","firstvisits_09","firstvisits_10","firstvisits_11","firstvisits_12"
"1",5,1,1,40,2007-05-03,0,0,0,7,7.15100002288818,11.8079996109009,NA,7,55,51,57,70,72,77,67,22,36,NA,NA,6,27,30,42,47,41,30,38,14,17,NA
"2",7,1,0,NA,NA,10,1,NA,6,7.36076879501343,7.36076879501343,NA,NA,NA,NA,NA,NA,80,77,83,9,NA,NA,NA,NA,NA,NA,NA,NA,36,43,47,8,NA,NA
"3",10,1,0,NA,NA,10,0,NA,0,12.4237871170044,12.4237871170044,186,155,182,155,183,169,189,183,224,NA,NA,NA,89,76,90,72,85,89,83,84,94,NA,NA,NA
"4",13,1,1,0,2007-05-10,10,0,0,5,11.8079996109009,11.8079996109009,63,73,39,54,73,91,77,53,49,48,19,NA,32,47,0,30,41,60,35,28,27,26,8,NA
"5",17,1,1,0,2007-05-05,20,1,1,3,0.344999998807907,13.4230003356934,218,188,205,140,173,156,189,174,152,14,NA,NA,82,76,65,56,72,76,85,74,29,7,NA,NA
"6",20,1,1,0,2007-05-09,10,0,0,2,4.93599987030029,13.3159999847412,134,131,130,127,136,179,128,129,108,22,NA,NA,71,67,52,65,78,96,58,61,52,14,NA,NA
"7",23,1,1,10,2007-04-30,0,1,1,4,9.02400016784668,15,310,247,288,239,275,416,NA,NA,496,306,185,NA,150,74,147,118,126,148,NA,NA,161,131,76,NA
"8",26,1,0,NA,NA,20,1,NA,3,12.6359539031982,12.6359539031982,248,234,236,133,152,163,157,100,119,123,36,NA,130,142,97,56,152,163,157,100,119,123,36,NA
"9",29,1,1,10,2007-05-21,0,1,1,3,11.9790000915527,13.2030000686646,244,186,202,202,261,342,274,386,219,50,NA,NA,90,91,106,94,155,136,114,160,113,6,NA,NA
"10",33,1,1,10,2007-05-07,0,0,0,5,8.17599964141846,14.826000213623,83,87,90,86,93,95,87,82,90,15,NA,NA,45,38,42,40,46,45,48,35,45,9,NA,NA
"11",34,1,1,20,2007-05-04,20,1,1,3,6.46999979019165,13.2030000686646,173,119,141,101,141,177,110,129,115,92,NA,NA,80,48,69,42,61,106,60,84,51,82,NA,NA
"12",38,2,1,10,2007-03-16,0,1,1,2,3.40700006484985,11.7340002059937,60,60,59,45,68,60,58,70,48,70,NA,NA,35,30,40,26,24,30,34,37,19,41,NA,NA
"13",39,2,1,20,2007-04-17,20,1,1,6,0,11.7340002059937,92,113,105,91,130,159,261,120,119,NA,NA,NA,60,63,46,28,66,93,116,55,55,NA,NA,NA
"14",47,2,1,40,2007-04-03,10,0,0,5,6.03499984741211,11.2170000076294,130,108,111,121,123,150,121,84,115,107,NA,NA,71,50,65,55,71,86,57,30,61,61,NA,NA
"15",55,3,1,20,2007-05-17,0,0,0,4,4.26100015640259,11.2170000076294,46,45,42,45,49,60,49,65,48,36,14,NA,30,23,22,31,31,37,25,43,32,24,12,NA
"16",57,3,0,NA,NA,0,0,NA,6,12.7048826217651,12.7048826217651,30,20,36,23,35,37,32,41,35,NA,NA,NA,20,12,17,20,15,25,15,20,24,NA,NA,NA
"17",58,3,1,0,2007-05-22,20,1,1,4,6.97100019454956,15.1750001907349,179,23,173,297,271,194,164,145,197,48,NA,NA,143,18,133,138,156,167,131,125,143,37,NA,NA
"18",63,3,1,40,2007-04-05,20,1,1,3,0.542999982833862,15.7390003204346,168,160,185,168,235,205,184,229,173,NA,NA,NA,90,87,93,80,122,107,92,103,68,NA,NA,NA
"19",67,3,1,10,2007-04-24,20,1,1,4,13.5100002288818,13.5100002288818,101,89,82,62,120,120,67,94,53,79,NA,NA,56,52,54,31,61,72,42,56,36,62,NA,NA
"20",68,3,1,0,2007-04-13,0,0,0,3,11.5179996490479,13.5100002288818,31,23,24,41,32,44,30,53,21,16,NA,NA,16,12,14,29,19,27,23,27,17,15,NA,NA
